area,membersAccessible,region,pokemon,pokedexNumber,morning,day,night,location,rod,membership,heldItem,tier,levels
Abandoned Ship B1F Room 3,,Hoenn,Tentacool,72,Morning,Day,Night,Surfing,Old,,,1,28-35
Abandoned Ship B1F Room 3,,Hoenn,Tentacruel,73,Morning,Day,Night,Surfing,Good,,,1,30-35
Abandoned Ship B1F Room 3,,Hoenn,Magikarp,129,Morning,Day,Night,Fishing,Old,,,2,28-35
Amazon Forest,#FF00BF,Johto,Poliwag,60,,,Night,Surfing,Good,,[[King's Rock]],1,10-14
Amazon Forest,#FF00BF,Johto,Krabby,98,,,Night,Surfing,Old,,,1,10-14
Amazon Forest,#FF00BF,Johto,Wooper,194,,,Night,Surfing,Good,,,1,10-14
Amity Square,,Sinnoh,Psyduck,54,Morning,Day,Night,Surfing,,,,1,17-20
Amity Square,,Sinnoh,Poliwag,60,Morning,Day,Night,Surfing,,,,1,17-20
Amity Square,,Sinnoh,Lanturn,171,Morning,Day,Night,Surfing,,,,4,17-20
Amity Square,,Sinnoh,Marill,183,Morning,Day,Night,Surfing,,,,4,17-20
Amity Square,,Sinnoh,Azurill,298,Morning,Day,Night,Surfing,,,,5,17-20
Amity Square,,Sinnoh,Clamperl,366,Morning,Day,Night,Surfing,,,,5,17-20
Amity Square,,Sinnoh,Buizel,418,Morning,Day,Night,Surfing,,,,5,17-20
Amity Square,,Sinnoh,Shellos,422,Morning,Day,Night,Surfing,,,,8,17-20
Battle Tower,,Sinnoh,Horsea,116,Morning,Day,Night,Surfing,,,,4,5-9
Battle Tower,,Sinnoh,Magikarp,129,Morning,Day,Night,Surfing,,,,3,5-9
Battle Tower,,Sinnoh,Buizel,418,Morning,Day,Night,Surfing,,,,4,5-9
Battle Tower,,Sinnoh,Shellos,422,Morning,Day,Night,Surfing,,,,6,5-9
Battle Tower,,Sinnoh,Finneon,456,Morning,Day,Night,Surfing,,,,4,5-9
Berry Forest,#FF00BF,Sevii Islands,Magikarp,129,,,Night,Fishing,Old,,,2,30-36
Berry Forest,#FF00BF,Sevii Islands,Poliwag,60,,,Night,Fishing,Old,,[[King's Rock]],1,30-36
Berry Forest,#FF00BF,Sevii Islands,Gyarados,130,Morning,Day,Night,Fishing,Super,,,5,30-36
Berry Forest,#FF00BF,Sevii Islands,Golduck,55,Morning,Day,Night,Fishing,Good,,,3,30-36
Berry Forest,#FF00BF,Sevii Islands,Marill,183,Morning,Day,Night,Fishing,Super,,,5,10-20
Berry Forest,#FF00BF,Sevii Islands,Psyduck,54,Morning,Day,Night,Fishing,Old,,,1,30-36
Berry Forest,#FF00BF,Sevii Islands,Slowbro,80,Morning,Day,Night,Fishing,Super,,[[King's Rock]],5,30-36
Blackthorn City,,Johto,Poliwag,60,,,Night,Surfing,Good,,,1,10-15
Blackthorn City,,Johto,Krabby,98,Morning,Day,Night,Fishing,Old,,,1,10-15
Blackthorn City,,Johto,Magikarp,129,Morning,Day,Night,Fishing,Old,,,2,10-15
Bond Bridge,#FF00BF,Sevii Islands,Gyarados,130,Morning,Day,Night,Surfing,Super,,,5,29-37
