area,membersAccessible,region,pokemon,pokedexNumber,morning,day,night,membership,heldItem,tier,levels
Abandoned Desert Village,#FF00BF,Johto,Machop,66,,Day,,,[[Focus Band]],1,10-14
Abandoned Desert Village,#FF00BF,Johto,Houndour,228,,,Night,,,9,10-14
Abandoned Desert Village,#FF00BF,Johto,Cubone,104,Morning,Day,Night,,[[Thick Club]],8,10-14
Abandoned Desert Village,#FF00BF,Johto,Geodude,74,Morning,Day,Night,,[[Hard Stone]],1,10-14
Abandoned Desert Village,#FF00BF,Johto,Makuhita,296,Morning,Day,Night,,[[Black Belt]],4,10-14
Abandoned Desert Village,#FF00BF,Johto,Sandshrew,27,Morning,Day,Night,,[[Quick Claw]],1,10-14
Acuity Lakefront,,Sinnoh,Zubat,41,,,Night,,,1,35-39
Acuity Lakefront,,Sinnoh,Machoke,67,Morning,Day,Night,,,1,35-39
Acuity Lakefront,,Sinnoh,Noctowl,164,Morning,Day,Night,,,1,35-39
Acuity Lakefront,,Sinnoh,Sneasel,215,,Day,,,,6,35-39
Acuity Lakefront,,Sinnoh,Teddiursa,216,Morning,Day,Night,,,4,35-39
Acuity Lakefront,,Sinnoh,Ursaring,217,Morning,Day,Night,,,6,35-39
Acuity Lakefront,,Sinnoh,Swinub,220,Morning,Day,Night,,,2,35-39
Acuity Lakefront,,Sinnoh,Meditite,307,Morning,Day,Night,,,8,35-39
Acuity Lakefront,,Sinnoh,Snorunt,361,Morning,Day,Night,,,6,35-39
Acuity Lakefront,,Sinnoh,Snover,459,Morning,Day,Night,#FF00BF,,9,35-39
Altering Cave,#FF00BF,Sevii Islands,Smeargle,235,Morning,,,,,8,12-25
Altering Cave,#FF00BF,Sevii Islands,Aipom,190,,Day,,,,8,12-25
Altering Cave,#FF00BF,Sevii Islands,Houndour,228,,,Night,,,9,12-25
Altering Cave,#FF00BF,Sevii Islands,Pineco,204,Morning,Day,,,,8,12-25
Altering Cave,#FF00BF,Sevii Islands,Mareep,179,Morning,Day,Night,,,2,12-25
Altering Cave,#FF00BF,Sevii Islands,Sandshrew,27,Morning,Day,Night,,,1,12-25
Altering Cave,#FF00BF,Sevii Islands,Shuckle,213,Morning,Day,Night,,[[Berry Juice]],9,12-25
Altering Cave,#FF00BF,Sevii Islands,Stantler,234,Morning,Day,Night,,,5,12-25
Altering Cave,#FF00BF,Sevii Islands,Teddiursa,216,Morning,Day,Night,,,3,12-25
Altering Cave,#FF00BF,Sevii Islands,Zubat,41,Morning,Day,Night,,,1,12-25
Amazon Forest,#FF00BF,Johto,Golbat,42,,,Night,,,2,10-14
Amazon Forest,#FF00BF,Johto,Arbok,24,Morning,Day,,,[[Poison Barb]],2,10-14
Amazon Forest,#FF00BF,Johto,Ekans,23,Morning,Day,,,,1,10-14
Amazon Forest,#FF00BF,Johto,Pidgey,16,Morning,Day,,,,1,10-14
Amazon Forest,#FF00BF,Johto,Smeargle,235,Morning,Day,,,,8,10-14
Amazon Forest,#FF00BF,Johto,Aipom,190,Morning,Day,Night,,,8,10-14
Amazon Forest,#FF00BF,Johto,Grimer,88,Morning,Day,Night,,[[Black Sludge]],1,10-14
Amazon Forest,#FF00BF,Johto,Koffing,109,Morning,Day,Night,,[[Smoke Ball]],2,10-14
Amazon Forest,#FF00BF,Johto,Pichu,172,Morning,Day,Night,#FF00BF,[[Colbur Berry]],8,10-14
Amazon Forest,#FF00BF,Johto,Tyrogue,236,Morning,Day,Night,,,6,10-14
Amazon Forest Entrance,#FF00BF,Johto,Ekans,23,Morning,Day,,,,1,10-14
Amazon Forest Entrance,#FF00BF,Johto,Arbok,24,Morning,Day,,,[[Poison Barb]],2,10-14
Amazon Forest Entrance,#FF00BF,Johto,Aipom,190,Morning,Day,Night,,,8,10-14
Amazon Forest Entrance,#FF00BF,Johto,Rattata,19,Morning,Day,Night,,,1,10-14
Bell Tower,,Johto,Rattata,19,Morning,Day,Night,,,1,14-17
Bell Tower,,Johto,Gastly,92,Morning,Day,Night,,,4,14-17
Bell Tower,,Johto,Haunter,93,Morning,Day,Night,,[[Spell Tag]],5,14-17
Bell Tower,,Johto,Hoothoot,163,,,Night,,,1,14-17
Bell Tower,,Johto,Noctowl,164,,,Night,,,4,14-17
Bell Tower,,Johto,Spinarak,167,Morning,,Night,,,1,14-17
Bell Tower,,Johto,Ariados,168,Morning,,Night,,[[Silver Powder]],5,14-17
Bell Tower,,Johto,Shuppet,353,Morning,Day,Night,,[[Spell Tag]],6,14-17
Berry Forest,#FF00BF,Sevii Islands,Bellsprout,69,Morning,Day,,,[[Awakening]],1,36-44
Berry Forest,#FF00BF,Sevii Islands,Drowzee,69,Morning,,Night,,[[Sun Stone]],1,10-30
Berry Forest,#FF00BF,Sevii Islands,Exeggcute,102,Morning,Day,Night,,[[Sun Stone]],4,10-30
Berry Forest,#FF00BF,Sevii Islands,Gloom,44,,,Night,,[[Sun Stone]],4,34-40
Berry Forest,#FF00BF,Sevii Islands,Hypno,97,,,Night,,[[Sun Stone]],4,30-32
Berry Forest,#FF00BF,Sevii Islands,Oddish,43,,,Night,,[[Sun Stone]],1,34-40
Berry Forest,#FF00BF,Sevii Islands,Petilil,548,Morning,Day,,#FF00BF,,8,34-40
Berry Forest,#FF00BF,Sevii Islands,Slowpoke,79,Morning,Day,Night,,[[Lagging Tail]],2,32-38
Berry Forest,#FF00BF,Sevii Islands,Weepinbell,70,Morning,Day,Night,,[[Sun Stone]],3,37-45
Bond Bridge,#FF00BF,Sevii Islands,Bellsprout,69,Morning,,,,,1,29-37
Bond Bridge,#FF00BF,Sevii Islands,Pidgeotto,17,Morning,,,,,2,29-37
Bond Bridge,#FF00BF,Sevii Islands,Psyduck,54,Morning,,,,,2,29-37
Bond Bridge,#FF00BF,Sevii Islands,Weepinbell,70,Morning,,,,,4,29-37
Bond Bridge,#FF00BF,Sevii Islands,Pidgey,16,,Day,,,,1,29-37
Bond Bridge,#FF00BF,Sevii Islands,Glameow,16,,,Night,,,9,29-37
Bond Bridge,#FF00BF,Sevii Islands,Gloom,44,,,Night,,,4,29-37
Bond Bridge,#FF00BF,Sevii Islands,Oddish,43,,,Night,,,2,29-37
Bond Bridge,#FF00BF,Sevii Islands,Gloom,44,Morning,,Night,,,1,29-37
Bond Bridge,#FF00BF,Sevii Islands,Meowth,52,Morning,,Night,,,1,29-37
Bug Catching Area,,Johto,Caterpie,10,Morning,Day,Night,,,1,15-19
Bug Catching Area,,Johto,Metapod,11,Morning,Day,Night,,,2,15-19
Bug Catching Area,,Johto,Butterfree,12,Morning,Day,Night,,[[Silver Powder]],5,15-19
Bug Catching Area,,Johto,Weedle,13,Morning,Day,Night,,,1,15-19
Bug Catching Area,,Johto,Kakuna,14,Morning,Day,Night,,,2,15-19
Bug Catching Area,,Johto,Beedrill,15,Morning,Day,Night,,[[Poison Barb]],5,15-19
Bug Catching Area,,Johto,Paras,46,Morning,Day,Night,,,1,15-19
Bug Catching Area,,Johto,Parasect,47,Morning,Day,Night,,,3,15-19
Bug Catching Area,,Johto,Scyther,123,Morning,Day,Night,,,8,15-19
Bug Catching Area,,Johto,Pinsir,127,Morning,Day,Night,,,8,15-19
Bug Catching Area,,Johto,Ledyba,165,Morning,Day,Night,,,1,15-19
Bug Catching Area,,Johto,Ledian,166,Morning,Day,Night,,,3,15-19
Bug Catching Area,,Johto,Spinarak,167,Morning,Day,Night,,,1,15-19
Bug Catching Area,,Johto,Ariados,168,Morning,Day,Night,,,4,15-19
Bug Catching Area,,Johto,Yanma,193,Morning,Day,Night,,,4,15-19
Bug Catching Area,,Johto,Pineco,204,Morning,Day,Night,,,8,15-19
Bug Catching Area,,Johto,Shuckle,213,Morning,Day,Night,,,9,15-19
Bug Catching Area,,Johto,Heracross,214,Morning,Day,Night,,,9,15-19
Bug Catching Area,,Johto,Silcoon,266,Morning,Day,Night,,,2,15-19
Bug Catching Area,,Johto,Cascoon,268,Morning,Day,Night,,,2,15-19
Bug Catching Area,,Johto,Wormadam,413,Morning,Day,Night,,,9,15-19
Bug Catching Area,,Johto,Mothim,414,Morning,Day,Night,,,9,15-19
